dominant,start,end,underlying,exchange,vt_symbol
BU1402,2013-10-09,2014-02-14,BU,SHFE,bu1402.SHFE
BU1406,2014-02-17,2014-05-21,BU,SHFE,bu1406.SHFE
BU1409,2014-05-22,2014-09-12,BU,SHFE,bu1409.SHFE
BU1412,2014-09-15,2014-12-10,BU,SHFE,bu1412.SHFE
BU1506,2014-12-11,2015-06-02,BU,SHFE,bu1506.SHFE
BU1509,2015-06-03,2015-08-24,BU,SHFE,bu1509.SHFE
BU1512,2015-08-25,2015-11-25,BU,SHFE,bu1512.SHFE
BU1601,2015-11-26,2015-12-21,BU,SHFE,bu1601.SHFE
BU1606,2015-12-22,2016-04-11,BU,SHFE,bu1606.SHFE
BU1609,2016-04-12,2016-08-02,BU,SHFE,bu1609.SHFE
BU1612,2016-08-03,2016-11-10,BU,SHFE,bu1612.SHFE
BU1706,2016-11-11,2017-04-25,BU,SHFE,bu1706.SHFE
BU1709,2017-04-26,2017-08-02,BU,SHFE,bu1709.SHFE
BU1712,2017-08-03,2017-11-21,BU,SHFE,bu1712.SHFE
BU1806,2017-11-22,2018-05-03,BU,SHFE,bu1806.SHFE
BU1812,2018-05-04,2018-11-22,BU,SHFE,bu1812.SHFE
BU1906,2018-11-23,2019-04-30,BU,SHFE,bu1906.SHFE
BU1912,2019-05-06,2019-11-27,BU,SHFE,bu1912.SHFE
BU2006,2019-11-28,2019-12-25,BU,SHFE,bu2006.SHFE
SC1809,2018-03-26,2018-08-08,SC,INE,sc1809.INE
SC1812,2018-08-09,2018-11-16,SC,INE,sc1812.INE
SC1901,2018-11-19,2018-12-17,SC,INE,sc1901.INE
SC1903,2018-12-18,2019-02-15,SC,INE,sc1903.INE
SC1904,2019-02-18,2019-03-15,SC,INE,sc1904.INE
SC1905,2019-03-18,2019-04-16,SC,INE,sc1905.INE
SC1906,2019-04-17,2019-05-20,SC,INE,sc1906.INE
SC1907,2019-05-21,2019-06-17,SC,INE,sc1907.INE
SC1908,2019-06-18,2019-07-16,SC,INE,sc1908.INE
SC1909,2019-07-17,2019-08-14,SC,INE,sc1909.INE
SC1910,2019-08-15,2019-09-09,SC,INE,sc1910.INE
SC1911,2019-09-10,2019-10-11,SC,INE,sc1911.INE
SC1912,2019-10-14,2019-11-15,SC,INE,sc1912.INE
SC2001,2019-11-18,2019-12-09,SC,INE,sc2001.INE
SC2002,2019-12-10,2019-12-25,SC,INE,sc2002.INE
A0303,2002-03-15,2002-03-15,A,DCE,a0303.DCE
A0305,2002-03-18,2003-01-14,A,DCE,a0305.DCE
A0307,2003-03-04,2003-05-26,A,DCE,a0307.DCE
A0309,2003-01-15,2003-03-03,A,DCE,a0309.DCE
A0311,2003-05-27,2003-08-18,A,DCE,a0311.DCE
A0401,2003-08-19,2003-10-15,A,DCE,a0401.DCE
A0405,2003-10-16,2004-02-13,A,DCE,a0405.DCE
A0409,2004-02-16,2004-07-08,A,DCE,a0409.DCE
A0411,2004-07-09,2004-09-07,A,DCE,a0411.DCE
A0501,2004-09-08,2004-11-15,A,DCE,a0501.DCE
A0505,2004-11-16,2005-03-04,A,DCE,a0505.DCE
A0509,2005-03-07,2005-07-07,A,DCE,a0509.DCE
A0511,2005-07-08,2005-07-22,A,DCE,a0511.DCE
A0601,2005-07-25,2005-10-27,A,DCE,a0601.DCE
A0605,2005-10-28,2006-02-15,A,DCE,a0605.DCE
A0609,2006-02-16,2006-08-23,A,DCE,a0609.DCE
A0701,2006-08-24,2006-10-31,A,DCE,a0701.DCE
A0705,2006-11-01,2007-01-31,A,DCE,a0705.DCE
A0709,2007-02-01,2007-05-30,A,DCE,a0709.DCE
A0801,2007-05-31,2007-08-07,A,DCE,a0801.DCE
A0805,2007-08-08,2007-11-15,A,DCE,a0805.DCE
A0809,2007-11-16,2008-02-26,A,DCE,a0809.DCE
A0901,2008-02-27,2008-10-14,A,DCE,a0901.DCE
A0905,2008-10-15,2009-01-12,A,DCE,a0905.DCE
A0909,2009-01-13,2009-04-14,A,DCE,a0909.DCE
A1001,2009-04-15,2009-07-09,A,DCE,a1001.DCE
A1005,2009-07-10,2009-10-26,A,DCE,a1005.DCE
A1009,2009-10-27,2010-04-22,A,DCE,a1009.DCE
A1101,2010-04-23,2010-07-21,A,DCE,a1101.DCE
A1105,2010-07-22,2010-10-22,A,DCE,a1105.DCE
A1109,2010-10-25,2011-01-05,A,DCE,a1109.DCE
A1201,2011-01-06,2011-07-13,A,DCE,a1201.DCE
A1205,2011-07-14,2011-10-27,A,DCE,a1205.DCE
A1209,2011-10-28,2012-03-20,A,DCE,a1209.DCE
A1301,2012-03-21,2012-09-03,A,DCE,a1301.DCE
A1305,2012-09-04,2013-02-01,A,DCE,a1305.DCE
A1309,2013-02-04,2013-06-07,A,DCE,a1309.DCE
A1401,2013-06-13,2013-10-16,A,DCE,a1401.DCE
A1405,2013-10-17,2013-12-30,A,DCE,a1405.DCE
A1409,2013-12-31,2014-03-28,A,DCE,a1409.DCE
A1501,2014-03-31,2014-11-26,A,DCE,a1501.DCE
A1505,2014-11-27,2015-04-14,A,DCE,a1505.DCE
A1509,2015-04-15,2015-06-15,A,DCE,a1509.DCE
A1601,2015-06-16,2015-11-11,A,DCE,a1601.DCE
A1605,2015-11-12,2016-03-09,A,DCE,a1605.DCE
A1609,2016-03-10,2016-07-13,A,DCE,a1609.DCE
A1701,2016-07-14,2016-11-28,A,DCE,a1701.DCE
A1705,2016-11-29,2017-03-23,A,DCE,a1705.DCE
A1709,2017-03-24,2017-08-04,A,DCE,a1709.DCE
A1801,2017-08-07,2017-12-11,A,DCE,a1801.DCE
A1805,2017-12-12,2018-04-04,A,DCE,a1805.DCE
A1809,2018-04-09,2018-07-30,A,DCE,a1809.DCE
A1901,2018-07-31,2018-12-21,A,DCE,a1901.DCE
A1905,2018-12-24,2019-04-19,A,DCE,a1905.DCE
A1909,2019-04-22,2019-08-09,A,DCE,a1909.DCE
A2001,2019-08-12,2019-12-04,A,DCE,a2001.DCE
A2005,2019-12-05,2019-12-25,A,DCE,a2005.DCE
TS1812,2018-08-17,2018-11-30,TS,CFFEX,TS1812.CFFEX
TS1903,2018-12-03,2019-02-28,TS,CFFEX,TS1903.CFFEX
TS1906,2019-03-01,2019-05-24,TS,CFFEX,TS1906.CFFEX
