commodity,product,exchange,size,pricetick,mean_close,backtest_capital,com_slip_ratio
fu,future,SHFE,10,1,3244.685832,32000,0.1784585
sc,future,INE,1000,0.1,463.3795903,463000,0.22
CF,future,CZCE,5,5,15109.23911,75000,0.1892
TA,future,CZCE,5,2,5640.092703,28000,0.33
bu,future,SHFE,10,2,2948.88084,29000,0.1621895
T,future,CFFEX,10000,0.005,95.73805964,957000,0.066
TF,future,CFFEX,10000,0.005,98.28123557,982000,0.066
TS,future,CFFEX,20000,0.005,100.0586072,2001000,0.033
l,future,DCE,5,5,8866.549973,44000,0.088
m,future,DCE,10,1,2860.888221,28000,0.165
p,future,DCE,10,2,5080.02221,50000,0.1375
pp,future,DCE,5,1,8716.793036,43000,0.5753088
v,future,DCE,5,5,6584.59846,32000,0.088
y,future,DCE,10,2,5916.492611,59000,0.1375
CY,future,CZCE,5,5,23257.39216,116000,0.176
FG,future,CZCE,20,1,1382.227162,27000,0.165
MA,future,CZCE,10,1,2610.613405,26000,0.22
RM,future,CZCE,10,1,2333.022904,23000,0.165
RS,future,CZCE,10,1,4914.799275,49000,0.22
SF,future,CZCE,5,2,6136.103165,30000,0.33
SM,future,CZCE,5,2,7258.549702,36000,0.33
eg,future,DCE,10,1,4766.827812,47000,0.44
jd,future,DCE,10,1,3939.118008,39000,0.6499515
i,future,DCE,100,0.5,557.6358298,55000,0.1226808
j,future,DCE,100,0.5,1987.981227,198000,0.26241336
jm,future,DCE,60,0.5,1258.061668,75000,0.1660648
ag,future,SHFE,15,1,3869.472907,58000,0.212820667
al,future,SHFE,5,5,14318.28145,71000,0.132
au,future,SHFE,1000,0.02,289.027391,289000,0.55
cu,future,SHFE,5,10,49327.35509,246000,0.2713007
hc,future,SHFE,10,1,3669.318046,36000,0.403623
ni,future,SHFE,1,10,99843.54736,99000,0.66
pb,future,SHFE,5,5,17852.42148,89000,0.15710112
SR,future,CZCE,10,1,5672.510717,56000,0.33
a,future,DCE,10,1,3659.44276,36000,0.22
AP,future,CZCE,10,1,9365.617583,93000,0.55
JR,future,CZCE,20,1,3071.047895,61000,0.275
LR,future,CZCE,20,1,2823.539662,56000,0.165
OI,future,CZCE,10,1,6799.447996,67000,0.22
PM,future,CZCE,50,1,2410.457367,120000,0.11
RI,future,CZCE,20,1,2598.22475,51000,0.275
b,future,DCE,10,1,3341.094068,33000,0.11
bb,future,DCE,500,0.05,136.9448034,68000,0.3012768
c,future,DCE,10,1,1805.50446,18000,0.132
cs,future,DCE,10,1,2179.901467,21000,0.165
fb,future,DCE,500,0.05,122.1253081,61000,0.2686772
WH,future,CZCE,20,1,2564.543381,51000,0.275
rb,future,SHFE,10,1,3629.665454,36000,0.399267
ru,future,SHFE,10,5,13105.93204,131000,0.12974841
sn,future,SHFE,1,10,144248.9592,144000,0.11
sp,future,SHFE,10,2,4911.510853,49000,0.13506625
wr,future,SHFE,10,1,3492.517542,34000,0.15367
zn,future,SHFE,5,5,22152.26307,110000,0.132
IC,future,CFFEX,200,0.2,5465.522716,1093000,0.691388913
IF,future,CFFEX,300,0.2,3662.579061,1098000,0.46331637
IH,future,CFFEX,300,0.2,2668.634612,800000,0.337582117
ZC,future,CZCE,100,0.2,595.3402133,59000,0.22
