B,2018-01-01
AU,2008-08-01
BB,
IH,2015-04-20
SM,2016-09-15
AL,2003-12-01
HC,2014-04-01
AG,2012-05-01
M,2004-01-01
RS,
CS,2015-02-01
TS,
J,2012-09-01
BU,2015-03-01
TA,2008-12-01
SC,2018-04-01
OI,2008-03-01
LR,
WR,
IF,2015-04-20
NR,2019-08-13
EG,2018-12-01
CF,2014-08-01
CU,2007-04-01
SS,2019-09-25
A,2002-09-01
I,2013-10-20
AP,2017-12-25
CY,2019-05-15
RR,
WH,
PP,2014-03-01
CJ,2019-05-01
PM,
ZC,2013-10-08
SN,2016-01-01
RM,2013-01-01
Y,2007-06-01
FB,
JM,2013-04-01
P,2009-04-01
FG,2013-01-01
JR,
C,2012-12-12
NI,2015-04-01
SA,2019-12-06
L,2008-11-01
SR,2006-06-01
V,2009-06-05
SP,2018-12-01
MA,2013-12-12
RU,2002-11-01
JD,2003-12-01
IC,2015-04-20
EB,2019-09-26
RI,
ZN,2007-05-01
TF,
FU,
PB,2014-08-01
SF,2017-03-15
RB,2009-06-01
T,
UR,
