资金账号,子账号,成交日期,操作,证券代码,证券名称,成交数量,成交价格,成交金额,成交编号,委托编号
模拟,20041,2018-05-23 10:39:56,买入,600993,马应龙,100,20.02,2002,14718,7323
模拟,20041,2018-05-23 10:41:19,卖出,000571,新大洲Ａ,100,5.41,541,14735,7331
模拟,20041,2018-05-23 10:42:12,卖出,600993,马应龙,100,20.02,2002,14740,7333
模拟,20041,2018-05-23 10:57:21,买入,600993,马应龙,1000,19.84,19840,14828,7395
模拟,20041,2018-05-23 10:58:41,买入,000571,新大洲Ａ,100,5.49,549,14875,7406
模拟,20041,2018-05-23 11:00:29,卖出,600993,马应龙,1000,19.9,19900,14882,7410
模拟,20041,2018-05-23 11:13:50,买入,600993,马应龙,1000,19.9,19900,14924,7440
模拟,20041,2018-05-23 11:15:49,卖出,000571,新大洲Ａ,1000,5.45,5450,14934,7444
模拟,20041,2018-05-23 11:18:24,买入,000571,新大洲Ａ,1000,5.46,5460,14935,7445
模拟,20041,2018-05-23 11:25:21,买入,000571,新大洲Ａ,1000,5.43,5430,14942,7453
模拟,20041,2018-05-23 11:28:17,卖出,000571,新大洲Ａ,1000,5.43,5430,14949,7459
模拟,20041,2018-05-23 13:06:06,卖出,600993,马应龙,1000,19.99,19990,14972,7491
模拟,20041,2018-05-23 13:37:06,买入,000571,新大洲Ａ,1000,5.41,5410,15087,7576
模拟,20041,2018-05-23 13:39:50,卖出,000571,新大洲Ａ,1000,5.38,5380,15093,7580
模拟,20041,2018-05-23 13:46:36,买入,000571,新大洲Ａ,1000,5.38,5380,15112,7601
模拟,20041,2018-05-23 14:06:49,卖出,000571,新大洲Ａ,1000,5.36,5360,15244,7665
模拟,20041,2018-05-23 14:08:23,卖出,600993,马应龙,1000,19.99,19990,15251,7669
模拟,20041,2018-05-23 14:32:40,买入,600993,马应龙,1000,19.97,19970,15370,7748
模拟,20041,2018-05-23 14:33:08,买入,600993,马应龙,1000,19.95,19950,15372,7750
模拟,20041,2018-05-23 14:33:50,卖出,600993,马应龙,1000,19.94,19940,15373,7752
模拟,20041,2018-05-23 14:44:46,买入,600993,马应龙,1000,19.85,19850,15399,7769
模拟,20041,2018-05-23 14:48:52,卖出,600993,马应龙,1000,19.9,19900,15409,7774
